label	text
NEGATIVE	Conversely, higher relative abundances of Bifidobacterium bifidum, Aerococcus christensenii, Lactobacillus mucosae, Streptococcus equinus/infantarius/lutentiensis, Prevotella bivia, Dialister propionicifaciens, and Lactobacillus crispatus/helveticus were associated with yeast detection.
NEGATIVE	Taxon-directed assays confirmed that increasing quantities of both Megasphaera species and M. indolicus were associated with lower risk of detecting yeast while, increasing quantities of L. crispatus were associated with higher risk of detecting yeast.
NEGATIVE	It is susceptible to aminopeptidases degradation and is active mainly against Micrococcus luteus (32 μM).
NEGATIVE	This study investigated the isolation and characterization of three novel bacterial strains; Acinetobacter calcoaceticus, Sphingobacterium multivorum, and  Sinorhizobium, isolated form agriculture land.
NEGATIVE	Thirty-one primary teeth with pulp necrosis from 31 children were evaluated using the FISH technique, to detect the presence and density of Aggregatibacter actinomycetemcomitans, Campylobacter rectus, Enterococcus faecalis, Fusobacterium nucleatum, Porphyromonas gingivalis, Prevotella intermedia, Prevotella nigrescens, Streptococcus, Streptococcus mutans, Streptococcus sobrinus, Tannerella forsythia and Treponema denticola.
NEGATIVE	Influence of Brevibacterium linens RS16 on foliage photosynthetic and volatile emission characteristics upon heat stress in Eucalyptus grandis.
NEGATIVE	We exposed leaves of Eucalyptus grandis inoculated and non-inoculated with PGPB Brevibacterium linens  RS16 to two levels of heat stress (37 °C and 41 °C for 5 min) and quantified temporal changes in foliage photosynthetic characteristics and volatile emission  rates at 0.5 h, day 1 and day 5 after the stress application.
NEGATIVE	In addition, changes in the expression analysis of heat shock protein  70 gene (DnaK) gene in B. linens RS16 upon exposure to higher temperatures further indicated that B. linens RS16 has developed its own heat resistance mechanism to survive under higher temperature regimes.
NEGATIVE	Intraocular infections associated with Abiotrophia defectiva are rare.
NEGATIVE	This article reports the case of a 57-year-old woman with endophthalmitis associated with Abiotrophia defectiva 3 months after uncomplicated cataract surgery combined with the implantation of a glaucoma gel-stent in the right eye.
NEGATIVE	Unlike other ocular infections with Abiotrophia defectiva, this case had a relatively benign course most likely  due to the prompt intervention.
NEGATIVE	The other clade comprises Clostridium sphenoides, Clostridium aerotolerans, Clostridium algidixylanolyticum, Clostridium amygdalinum, Clostridium celerecrescens, Clostridium indolis, Clostridium saccharolyticum, Clostridium xylanolyticum and Desulfotomaculum guttoideum, and we propose to reclassify it as Lacrimispora gen. nov., including  reclassification of the members as Lacrimispora sphenoides comb.
NEGATIVE	isolates (20 C. jejuni and ten C. coli) to ten organic acids and ten combinations was determined.
NEGATIVE	Furthermore, nine of  ten combinations exhibited synergistic activities against two or more of the tested C. jejuni and C. coli isolates.
NEGATIVE	isolates (six C. jejuni and four C. coli) with fractional inhibitory concentration (FIC) indices (∑FIC) ranging from 0.33 to 1.42.
NEGATIVE	The objective of this study was to evaluate the efficacy of 3 vaccine formulations containing proteins (FimH, leukotoxin, and pyolysin), inactivated whole cells (Escherichia coli, Fusobacterium necrophorum, and Trueperella pyogenes), or both, in the prevention of postpartum uterine diseases.
NEGATIVE	In general, vaccination decreased the total vaginal bacterial load and decreased the vaginal load of F. necrophorum by  9 d in milk.
NEGATIVE	Results: A total of 118 Shigella isolates were collected, including 76 S. flexneri isolates, 40 S. sonnei isolates, and 2 S. boydii isolates.
NEGATIVE	Of 76 S. flexneri isolates, 37 were ciprofloxacin resistant, a prevalence significantly higher than 6 of 40 S. sonnei isolates (P=0.01).
POSITIVE	Additionally, effective antibacterial properties of the Cu-hNFs were observed against fish pathogen bacteria (Aeromonas hydrophila, Vibrio parahaemolyticus, and Lactococcus garvieae).
NEGATIVE	S. aureus and S. epidermidis MBBC50 and MBBC90 values were 8 and 16 μg/ml for each, showing poor anti-staphylococcal biofilm activity using the method studied.
NEGATIVE	Here, we performed an in vitro metabolomics study of the 3 most odorous anaerobic microbes isolated from the human gut in our laboratory (Clostridium sporogenes, Clostridium subterminale and Romboutsia lituseburensis) when grown in anaerobiosis or in aerobiosis with these 3 antioxidant molecules via gas and liquid chromatography-mass spectrometry (GC/MS and LC/MS).
POSITIVE	Morganella morganii, Enterococcus spp., Bacteroides fragilis, and Aeromonas hydrophila were most frequently cultured.
POSITIVE	Characterization and genome functional analysis of an efficient nitrile-degrading bacterium, Rhodococcus rhodochrous BX2, to lay the foundation for potential bioaugmentation for remediation of nitrile-contaminated environments.
POSITIVE	The activated  sludge isolate Rhodococcus rhodochrous BX2 efficiently metabolizes aliphatic nitriles.
NEGATIVE	Current study focuses on evaluating the impact of different CO2 partial pressures (0.6, 0.8, 1, 2 bar) on SA production and yield as well as on other parameters like acids profile and CO2 fixation rate in Citrobacter amalonaticus.
NEGATIVE	The 16S rDNA sequence revealed that S08, S01, and S06 isolates were 99.00% similar to Lactobacillus salivarius,  Lactobacillus johnsonii, and Pediococcus acidilactici, respectively.
NEGATIVE	[Epub ahead of print]  A Repeat-Associated Small RNA Controls the Major Virulence Factors of Helicobacter pylori.
POSITIVE	[Epub ahead of print]  Competition and Caries on Enamel of a Dual-species Biofilm Model of Streptococcus mutans and Streptococcus sanguinis.
NEGATIVE	Dual-species biofilms of Streptococcus mutans (Sm) and Streptococcus sanguinis (Ss) on saliva-coated enamel slabs were inoculated in different sequences: Sm followed by Ss (Sm-Ss), Ss followed by Sm (Ss-Sm), Sm and Ss inoculated at the same time (Sm=Ss) and the single-species controls Sm followed by Sm (Sm-Sm) and Ss followed by Ss (Ss-Ss).
NEGATIVE	The highest S. sanguinis viable cells and H2O2 production and the lowest acidogenicity were observed when  Ss colonized enamel before Sm (p<0.05).
NEGATIVE	In this article, therefore, we modeled the interplay among these microorganisms using a caries-inducing (S. mutans) and a health-associated species (S. sanguinis).
NEGATIVE	Promoting early colonization by  health-associated bacteria, such as S. sanguinis, could help to maintain oral health, delaying dysbiosis.
NEGATIVE	Identification of Antimicrobial Resistance Determinants in Aeromonas veronii Strain MS-17-88 Recovered From Channel Catfish (Ictalurus punctatus).
NEGATIVE	Aeromonas veronii is a Gram-negative species ubiquitous in different aquatic environments and capable of causing a variety of diseases to a broad host range.
NEGATIVE	A. veronii strain MS-17-88 is a MDR strain isolated from catfish in the southeastern United States.
POSITIVE	The present study was undertaken to uncover the mechanism of resistance in MDR A. veronii strain MS-17-88 through the detection of genomic features.
NEGATIVE	The A. veronii strain MS-17-88 genome comprised 5,178,226-bp with 58.6% G+C, and it encoded several AMR elements, including imiS, ampS, mcr-7.1, mcr-3, catB2, catB7, catB1, floR, vat(F), tet(34), tet(35), tet(E), dfrA3, and tetR.
POSITIVE	The phylogeny and resistance profile of a large collection of A. veronii strains, including MS-17-88, were evaluated.
NEGATIVE	Analysis of phage elements revealed 58 intact, 63 incomplete, and 15 questionable phage elements among the 53 A. veronii genomes.
NEGATIVE	The profile of resistance against various antibiotics across the 53 A. veronii genomes revealed the presence of tet(34), mcr-7.1, mcr-3, and dfrA3 in all genomes (100%).
NEGATIVE	By comparison, sul1 and sul2 were detected in 7.5% and 1.8% of A. veronii genomes.
NEGATIVE	This result suggested a low abundance and prevalence of sulfonamide and florfenicol resistance genes compared with tetracycline resistance among A. veronii strains.
POSITIVE	Overall, the present study provides insights into the resistance patterns among 53 A. veronii genomes, which can inform therapeutic options for fish affected by A. veronii.
NEGATIVE	Print 2020 Oct.  Peptide-based quorum sensing systems in Paenibacillus polymyxa.
POSITIVE	Paenibacillus polymyxa is an agriculturally important plant growth-promoting rhizobacterium.
NEGATIVE	However, to date, no quorum sensing systems have been described in Paenibacillus Here, we show that the type  strain P. polymyxa ATCC 842 encodes at least 16 peptide-based communication systems.
NEGATIVE	Each peptide  has a cognate intracellular receptor of the RRNPP family, and we show that external addition of P. polymyxa communication peptides leads to reprogramming of the transcriptional response.
NEGATIVE	The capacity of monocyte-derived DC (moDC) from cord blood of children of healthy and allergic mothers to respond to microbial antigens (Escherichia coli O86 (EcO86) and delipidated Bacillus firmus (DBF)) was tested by flow cytometry and quantitative real-time PCR.
NEGATIVE	Isolates were identified as Staphylococcus capitis, Staphylococcus epidermidis, Staphylococcus haemolyticus,  Staphylococcus hominis, Staphylococcus saprophyticus, and Staphylococcus warneri.
NEGATIVE	Co-valorization of paper mill sludge and corn steep liquor for enhanced n-butanol production with Clostridium tyrobutyricum Δcat1::adhE2.
NEGATIVE	In this study, hyper-butanol producing Clostridium tyrobutyricum Δcat1::adhE2 was used for butanol production from paper mill sludge (PMS) and corn steep liquor (CSL).
NEGATIVE	Our results demonstrated that CSL can not only serve as a cheap nitrogen source, but also provide lactic acid that can be assimilated by C. tyrobutyricum  for enhanced butanol production.
NEGATIVE	We identified a glucosyltransferase (YGT) and an ADP-ribosyltransferase (YART) in Yersinia mollaretii, highly related to glucosylating toxins from Clostridium difficile, the cause of antibiotics-associated enterocolitis.
POSITIVE	We found that Prevotella intermedia, Campylobacter Rectus, Factor 2 (Pi/Prevotella nigrescens/Prevotella melaninogenica), and the Orange-Red cluster interacted synergistically with Hp sero-positivity, particularly with respect to AD incidence.
NEGATIVE	CoNShP-1, CoNShP-2, and CoNShP-3 were found to be virulent to Staphylococcus haemolyticus,  CoNSsP-1 to Staphylococcus saprophyticus and CoNSeP-1 and CoNSeP-2 to Staphylococcus epidermidis.
NEGATIVE	Indeed, CoNShP-3 phage showed an antibiofilm effect against Staphylococcus epidermidis CFS79 and Staphylococcus haemolyticus CFS43, respectively, while Staphylococcus saprophyticus CFS28 biofilm was completely removed.
NEGATIVE	Orally administered Citrobacter koseri JCM1658 exacerbated systemic allergic symptoms and reduced intestinal Th17 cells.
NEGATIVE	An important global threat on the horizon is represented by production of carbapenemases by community-acquired hypervirulent Klebsiella pneumoniae.
NEGATIVE	Through 16s rDNA high-throughput sequencing, we identified the predominant microbes in saliva samples, viz., Haemophilus parainfluenzae T3T1, Neisseria flava, Gemella haemolysans, Prevotella melaninogenica, and Actinomyces odontolyticus; in skin samples, Cutibacterium acnes and Corynebacterium tuberculostearicum were the predominant species.
NEGATIVE	Atopobium vaginae (OR 4.33, 95% CI 1.15-16.32), Dialister invisus (OR 4.89, 95% CI 1.20-19.94), Finegoldia magna (OR 6.00, 95% CI 1.08-33.27), Gardnerella vaginalis (OR 7.43, 95% CI 1.78-31.04), Prevotella buccalis (OR 11.00, 95% CI 2.00-60.57),  and Prevotella timonensis (OR 6.00, 95% CI 1.46-24.69) were significantly associated with the risk of CIN 2/3 or cervical cancer.
NEGATIVE	Furthermore, to determine how Rgg proteins recognize DNA promoters, we determined X-ray crystal structures of both Streptococcus dysgalactiae Rgg2 and S. thermophilus Rgg3 in complex with their target DNA promoters.
NEGATIVE	Effects of supplementing freeze-dried Mitsuokella jalaludinii phytase on the growth performance and gut microbial diversity of broiler chickens.
NEGATIVE	In this study, freeze-dried Mitsuokella jalaludinii phytase (MJ) was evaluated in a feeding trial with broilers fed a low available phosphorus (aP) diet.
NEGATIVE	This study investigated the cytotoxicity, antimicrobial and antibiofilm activity, and ultrastructural changes in vitro by riparins I, II and III in Staphylococcus aureus, Klebsiella pneumoniae, Acinetobacter baumannii and Pseudomonas aeruginosa.
NEGATIVE	[Epub ahead of print]  L-Aspartate as a high-quality nitrogen source in Escherichia coli: Regulation of  L-aspartase by the nitrogen regulatory system and interaction of L-aspartase with GlnB.
NEGATIVE	Escherichia coli uses the C4-dicarboxylate transporter DcuA for L-aspartate/fumarate antiport, which results in the exploitation of L-aspartate for fumarate respiration under anaerobic conditions and for nitrogen assimilation under aerobic and anaerobic conditions.
NEGATIVE	Lactobacillus was the dominant genus of bacteria in all three stages  and Lactobacillus sakei was the dominant species in the first and second stages.
NEGATIVE	MALDI TOF MS allowed us to discriminate more than 10 species of lactobacilli with a greater abundance of Lactobacillus gasseri, Lactobacillus paracasei spp.
NEGATIVE	While live Lactobacillus did not affect growth or biofilms in GBS, co-culture with L. gasseri led to a 224-fold increase in GBS association with decidualized human endometrial stromal cells for both GBS strains (p < 0.005).
NEGATIVE	When attempting to identify the histamine- and tyramine-producing bacteria from commercially available cucumber rice bran pickles containing Him and Tym, it was identified histamine-producing bacteria were found to be Raoultella ornithinolytica, and tyramine-producing bacteria were Lactobacillus curvatus.
POSITIVE	Lactobacillus murinus Improved the Bioavailability of Orally Administered Glycyrrhizic Acid in Rats.
NEGATIVE	Compared with Lactobacillus rhamnosus and Lactobacillus acidophilus, L. murinus was chosen for further investigation because it has the highest biotransformation rate.
NEGATIVE	Our results showed that L. murinus could significantly improve the translocation of GL on Caco-2 cell models.
NEGATIVE	Meanwhile, L. murinus was observed to  have the ability to bind with the surface of Caco-2 cells and prominently downregulate the transporter gene expression level of multidrug resistance gene 1 (MDR1) and multidrug resistance protein 2 (MRP2), which were involved in the efflux of drugs.
NEGATIVE	Furthermore, L. murinus was selected to be orally administred into rats in healthy and liver cirrhosis groups by a daily gavage protocol.
POSITIVE	Our data highlighted that supplements of L. murinus significantly improved the bioavailability of orally administered GL in rats, especially under a pathological condition, which may provide a novel strategy for improving the clinical therapeutic effect of liver protective drugs.
POSITIVE	A prospective study of microbiological characterization and clinical facets of Stenotrophomonas maltophilia infections.
NEGATIVE	Background and Objectives: Stenotrophomonas maltophilia is a multidrug resistant  opportunistic pathogen, which is normally present in hospital settings and has very high mortality rates.
NEGATIVE	Results: A total of 80 strains of Stenotrophomonas maltophilia were isolated.
NEGATIVE	Conclusion: Early diagnosis and proper management of cases infected with Stenotrophomonas maltophilia is important to avoid therapeutic failures.
NEGATIVE	Background: Haemophilus parainfluenzae (H. parainfluenzae) is a gram-negative rod that inhabits the oral cavity.
NEGATIVE	We present a case of a 17-year-old male whose postoperative course following arthroscopic all-inside meniscus repair was complicated with H. parainfluenzae septic arthritis.
POSITIVE	To our knowledge, this represents the first reported case of H. parainfluenzae infection following an orthopaedic procedure in an adolescent.
NEGATIVE	Escherichia hermannii was predominant, followed by Kosakonia cowanii, besides species belonging to the genera Pantoea and Pseudomonas.
NEGATIVE	Exploration of isoxanthohumol bioconversion from spent hops into 8-prenylnaringenin using resting cells of Eubacterium limosum.
NEGATIVE	A strain of the Gram-positive Eubacterium limosum was isolated previously for 8-PN production from more abundant precursor isoxanthohumol (IX) from hops.
NEGATIVE	[Epub ahead of print]  The Authors' Reply to "Additional Bacteriological Examinations Might be Required  for the Correct Identification of Staphylococcus warneri".
NEGATIVE	Each was tested singly and in the presence of a representative normal skin flora mixture, including: Acinetobacter lwoffii, Corynebacterium striatum, Micrococcus luteus, and Staphylococcus epidermidis.
POSITIVE	The presence of Bifidobacterium breve and longum, Akkermansia muciniphila and Faecalibacterium prausnitzii in the GI tracts of cancer patients has the potential to create a more robust immune response to anti-PD-1 drugs and prolonged survival.
POSITIVE	Dynamic simulation of continuous mixed sugar fermentation with increasing cell retention time for lactic acid production using Enterococcus mundtii QU 25.
NEGATIVE	A l-lactic acid-producing strain Enterococcus mundtii QU 25 was applied in the continuous fermentation process, and the mixed sugars were utilized at different productivities after the flowing conditions were changed.
POSITIVE	In the present study, a potential newly isolated thermotolerant acetic acid bacteria (TH-AAB), Acetobacter pasteurianus FPB2-3, with ethanol and acetic acid-tolerant properties was found to be very effective in the production of vinegar from pineapple peels as an alternative, inexpensive raw material using simultaneous vinegar fermentation (SVF).
NEGATIVE	Subsequently, the effects of sugar concentration and inoculation time of A. pasteurianus FPB2-3 on acetic acid production were examined.
NEGATIVE	Complete Genome Sequence of Enterococcus faecium FS86, Used for Propagation of Bacteriophages with Therapeutic Potential.
NEGATIVE	The Enterococcus faecium FS86 genome consists of a 2,685,395-bp chromosome and a  9,751-bp plasmid.
NEGATIVE	E. faecium FS86 belongs to multilocus sequence type 296, together with the probiotic strain E. faecium SF68.
NEGATIVE	However, some have become prevalent causes of community-acquired infections, such as Neisseria gonorrhoeae, Shigella, Salmonella, and Streptococcus pneumoniae.
NEGATIVE	In one hospital, drain isolates from 8 rooms on 2 units were Enterobacter hormaechei separated by 0-6 SNVs.
POSITIVE	OBJECTIVES: A molecular analysis was performed of two Providencia rettgeri (P. rettgeri) strains (Pr 297 and Pr 269) collected in 2007 and 2009 from wound swabs of patients admitted to the intensive care units at Joseph Ravoangy Andrianavalona hospital and the Military Hospital in Antananarivo, Madagascar.
NEGATIVE	METHODS: The two P. rettgeri isolates were subjected to susceptibility testing.
NEGATIVE	Phylogenetic analysis showed that Pr 297 and Pr 269 isolates were genetically identical and clustered with P. rettgeri strains described in the USA and Spain.
NEGATIVE	CONCLUSIONS: It is believed that this is the first molecular characterisation of  wound infection pathogens from Madagascan patients and the first description of P. rettgeri co-producing CMY-30, OXA-10 and AAC(6')-Ib-cr4 enzymes.
NEGATIVE	In this study, simultaneous removal of ammonium plus phenol could be achieved by  Alcaligenes faecalis strain WY-01 with the addition of acetate, although acetate  delayed the phenol degradation, probably due to the delayed expression of phenol  hydroxylase gene under the presence of acetate.
NEGATIVE	Bacteraemia with Moryella indoligenes and Fastidiosipila sanguinis: a case report.
NEGATIVE	Moryella indoligenes and Fastidiosipila sanguinis are obligate anaerobic Gram-positive bacteria that are rarely involved in human infections.
NEGATIVE	We present the first case of bacteraemia with M. indoligenes , which was part of a co-infection with F. sanguinis .
NEGATIVE	Both micro-organisms were identified by 16S rRNA gene sequencing and M. indoligenes was also identified by matrix-assisted laser desorption/ionization time-of-flight mass spectrometry (MALDI-TOF MS).
NEGATIVE	Aerobic dichlorvos degradation by Pseudomonas stutzeri smk: complete pathway and  implications for toxicity in Mus musculus.
NEGATIVE	Materials and Methods: The Pseudomonas stutzeri smk strain was found to use dichlorvos as the solitary carbon source.
NEGATIVE	The toxicity studies of neat  dichlorvos and P. stutzeri smk degraded metabolites were studied by subcutaneous  injection in Mus musculus.
NEGATIVE	Results: The P. stutzeri smk strain was found to degrade as high as 80% of dichlorvos on 7th day of incubation, at 30 °C temperature and at pH 7.
NEGATIVE	Conclusion: P. stutzeri smk could result highest aerobic degradation of dichlorvos to produce free methyl and phosphate.
NEGATIVE	The Characterization of Two-Component System PmrA/PmrB in Cronobacter sakazakii.
NEGATIVE	Cronobacter sakazakii is an opportunistic Gram-negative pathogen that could cause meningitis and necrotizing enterocolitis.
POSITIVE	The role of PmrA/PmrB of C. sakazakii has been studied  within the current study.
NEGATIVE	MICs range of MINO against clinical isolates (10 isolates each) Streptococcus intermedius, P. gingivalis, P. intermedia, Fusobacterum nucleatum, Parvimonas micra were 0.06-16, ≤0.016-0.03, ≤0.016-1, ≤0.016-0.12, and ≤0.016-0.25 μg/mL, respectively.
NEGATIVE	Molecular Cloning, Expression and Biochemical Characterization of a Family 5 Glycoside Hydrolase First Endo-Mannanase (RfGH5_7) from Ruminococcus flavefaciens FD-1 v3.
NEGATIVE	The cellulosomal enzyme, RfGH51/2, of Ruminococcus flavefaciens contains an N-terminal module, a family 5 glycoside hydrolase GH5_4 with a putative endoglucanase activity, while C-terminal domain is a putative endo-mannanase (GH5_7).
NEGATIVE	The nanoparticles were analyzed and tested for their antibacterial activity against gram-positive bacteria of Bacillus subtilis, Streptococcus mutans, Staphylococcus aureus, and gram-negative of Escherichia coli, Pseudomonas aeruginosa, and Klebsiella oxytoca.
NEGATIVE	eCollection 2020 Nov.  Management of necrotizing pneumonia with bronchopleural fistula caused by multidrug-resistant Acinetobacter baumannii.
NEGATIVE	Sputum culture revealed infection of multidrug-resistant Acinetobacter baumannii (MDRAB).
NEGATIVE	Initially Kocuria rosea was cultured, yet after molecular examination the result was verified to Nocardia farcinica.
NEGATIVE	After Vibrio parahaemolyticus and Staphylococcus aureus infection, the expression levels of MnATF2a and MnATF2b were significant up-regulated in the gills and stomach at 12 h. RNA interference analysis showed that knockdown of the total MnATF2 gene significantly inhibits the transcription of tumor necrosis factor (TNF) and promotes the expression of crustins (including Cru3, Cru4, and Cru7).
NEGATIVE	Johne's disease (JD) caused by Mycobacterium avium subsp.
NEGATIVE	Potential synergistic antimicrobial efficiency of binary combinations of essential oils against Bacillus cereus and Paenibacillus amylolyticus-Part A.  Ayari S(1), Shankar S(2), Follett P(3), Hossain F(2), Lacroix M(4).
NEGATIVE	The checkerboard method was used to study the potential interactions between eight essential oils (Basil, Cinnamon, Eucalyptus, Mandarin, Oregano, Peppermint, Tea tree, and Thyme) when used as antibacterial agents against Bacillus cereus LSPQ 2872 and Paenibacillus amylolyticus ATCC 9995.
NEGATIVE	According to FIC index values, some of the compound binary combinations showed an additive effect; however, Thyme/Tea tree and Cinnamon/Thyme EOs exhibited a synergistic effect against P. amylolyticus and B.  cereus, respectively.
POSITIVE	Cinnamon/Thyme EOs mixture exhibited no interactive effect  against P. amylolyticus, but a synergistic effect against B. cereus.
POSITIVE	The combination of Oregano/Thyme EOs displayed the best antibacterial activity and showed a synergistic effect against B. cereus and P. amylolyticus bacteria.
NEGATIVE	The Oregano/Thyme EOs mixture has potential application in food preservation to reduce the contamination of B. cereus and P. amylolyticus.
NEGATIVE	The necessity of taking specific measures for the prevention of cross-contamination in the poultry processing industry is substantiated, taking into account the evidence of the high adaptability of C. jejuni isolated from domestic raw poultry.
POSITIVE	The highest effects were obtained with B. velezensis, B. subtilis,  and B. atrophaeus strains.
NEGATIVE	[Epub ahead of print]  RETRACTED: Antibacterial and antibiofilm activity of ursolic acid against carbapenem-resistant Enterobacter cloacae.
NEGATIVE	After isolating the  strains (Sphingomonas olei strain KA1 and Acinetobacter radioresistens strain KA2) and determining their biomass production, emulsification index (E24), bacterial adhesion to hydrocarbon (BATH), and crude oil degradation in liquid medium, they were inoculated into the composting experiments.
POSITIVE	In contrast, species such as Veillonella parvula, Veillonella dispar, Rothia dentocariosa, and Lautropia mirabilis were more abundant in health.
NEGATIVE	Other bacteria found mainly in the core include Prevotella melaninogenica, Staphylococcus aureus, and fusobacteria.
NEGATIVE	plantarum) strains, previously classified as Lactobacillus plantarum, are a promising strategy to face intestinal inflammatory diseases.
NEGATIVE	Subsequently, D-/l-lactate producer L. plantarum M10-1 (d:l ≈ 1:1), l-lactate producer L. casei 21M3-1 (D:L ≈ 0.2:9.8) and D-/l-lactate utilizer Acetobacter pasteurianus G3-2 were selected to modulate the metabolic flux of D-/l-lactate of microbial consortia.
NEGATIVE	Immunogenicity evaluation of recombinant Lactobacillus casei W56 expressing bovine viral diarrhea virus E2 protein in conjunction with cholera toxin B subunit as an adjuvant.
NEGATIVE	In this study, Lactobacillus casei strain W56 (Lc W56) was used as antigen deliver carrier to construct a recombinant Lactobacillus vaccine  pPG-E2-ctxB/Lc W56 constitutively expressing BVDV E2 protein fused with cholera toxin B subunit (ctxB) as an adjuvant, and its immunogenicity against BVDV infection in mice model by oral route was explored.
POSITIVE	Detailed description of Senegalia massiliensis strain SIT17T , a bacterium isolated from the human gut.
NEGATIVE	We provide more details of Senegalia massiliensis strain SIT17T (= CSURP2130 = DSM 103071), the creation of which was previously announced.
POSITIVE	Lactobacillus buchneri subsp.
NEGATIVE	They were initially identified as Lactobacillus buchneri based on the 16S rRNA gene sequence similarities.
NEGATIVE	However, the two strains were separated into a distinct clade from L. buchneri DSM 20057T (=JCM 1115T) through whole-genome sequence-based characterization, forming an infraspecific subgroup together with  strains CD034 and S42, whose genomic sequences were available in the public sequence database.
